DNAm,metric,estimate,std.error,p.value,r2,modality,brain_metric,pFDR,significance,FDR_significance,omic_type,model
NTRK3_olink,global.total.gm,0.073438473,0.021924084,0.000852842,0.685897943,global,global grey matter,0.007150753,Yes,Yes,DNAm,Model 1 (n=709)
SIGLEC1,global.total.gm,-0.025915942,0.021723528,0.233281159,0.681472895,global,global grey matter,0.446099058,No,No,DNAm,Model 1 (n=709)
SKR3,global.total.gm,-0.074756432,0.021596831,0.000570189,0.686236686,global,global grey matter,0.006215063,Yes,Yes,DNAm,Model 1 (n=709)
SMPD1,global.total.gm,-0.013224446,0.021379927,0.536419127,0.680995539,global,global grey matter,0.672065343,No,No,DNAm,Model 1 (n=709)
CCL11,global.total.gm,-0.034346312,0.02153226,0.111143018,0.681985593,global,global grey matter,0.287567254,No,No,DNAm,Model 1 (n=709)
CD6,global.total.gm,0.020969468,0.02188926,0.338406573,0.681241191,global,global grey matter,0.567481791,No,No,DNAm,Model 1 (n=709)
CXCL10_olink,global.total.gm,0.020571236,0.022179787,0.354001527,0.681214808,global,global grey matter,0.574370096,No,No,DNAm,Model 1 (n=709)
CXCL11_olink,global.total.gm,0.001886235,0.021510273,0.930148379,0.680823211,global,global grey matter,0.965582603,No,No,DNAm,Model 1 (n=709)
CXCL9,global.total.gm,-0.019586435,0.022386634,0.381922023,0.681171341,global,global grey matter,0.586330993,No,No,DNAm,Model 1 (n=709)
EN.RAGE,global.total.gm,-0.014376858,0.021933132,0.512372192,0.681017159,global,global grey matter,0.664863916,No,No,DNAm,Model 1 (n=709)
FGF.21,global.total.gm,-0.058314931,0.021779323,0.007591931,0.684083177,global,global grey matter,0.043549608,Yes,Yes,DNAm,Model 1 (n=709)
HGF,global.total.gm,-0.056355899,0.021805752,0.009956487,0.683862334,global,global grey matter,0.047185088,Yes,Yes,DNAm,Model 1 (n=709)
MMP.1_olink,global.total.gm,-0.046663203,0.022184671,0.035790313,0.682841575,global,global grey matter,0.127308851,Yes,No,DNAm,Model 1 (n=709)
OSM,global.total.gm,-0.023320367,0.021792925,0.284951325,0.68134545,global,global grey matter,0.504932256,No,No,DNAm,Model 1 (n=709)
TGF.alpha,global.total.gm,-0.053396149,0.021876155,0.014902198,0.683536377,global,global grey matter,0.065101816,Yes,No,DNAm,Model 1 (n=709)
VEGFA,global.total.gm,-0.083797632,0.021736045,0.000126356,0.687511988,global,global grey matter,0.002754566,Yes,Yes,DNAm,Model 1 (n=709)
CCL21,global.total.gm,-0.006580636,0.025317033,0.794995494,0.680850744,global,global grey matter,0.849554008,No,No,DNAm,Model 1 (n=709)
MMP9,global.total.gm,-0.058276332,0.021907086,0.007990754,0.68404138,global,global grey matter,0.043549608,Yes,Yes,DNAm,Model 1 (n=709)
MPO,global.total.gm,-0.028861494,0.021494329,0.179792181,0.681646739,global,global grey matter,0.379284712,No,No,DNAm,Model 1 (n=709)
NTRK3,global.total.gm,0.095739494,0.021823466,1.33E-05,0.689432223,global,global grey matter,0.000542794,Yes,Yes,DNAm,Model 1 (n=709)
TNFRSF17,global.total.gm,-0.000587588,0.022519116,0.97919077,0.680819987,global,global grey matter,0.992500755,No,No,DNAm,Model 1 (n=709)
MIA,global.total.gm,-0.002081005,0.021628258,0.92337605,0.680823932,global,global grey matter,0.965582603,No,No,DNAm,Model 1 (n=709)
CCL25,global.total.gm,-0.015334794,0.021723019,0.480472488,0.681048698,global,global grey matter,0.664863916,No,No,DNAm,Model 1 (n=709)
IGFBP1,global.total.gm,0.004752225,0.028586492,0.868016306,0.680832384,global,global grey matter,0.918580362,No,No,DNAm,Model 1 (n=709)
LTF,global.total.gm,-0.006512408,0.022002397,0.767329077,0.680859961,global,global grey matter,0.844837064,No,No,DNAm,Model 1 (n=709)
BCAM,global.total.gm,-0.033800215,0.02148229,0.116082194,0.681954183,global,global grey matter,0.287567254,No,No,DNAm,Model 1 (n=709)
EDA,global.total.gm,0.006149398,0.022052482,0.780440823,0.680855432,global,global grey matter,0.849554008,No,No,DNAm,Model 1 (n=709)
C5,global.total.gm,-0.009616878,0.022462461,0.668688496,0.680903952,global,global grey matter,0.76557268,No,No,DNAm,Model 1 (n=709)
GHR,global.total.gm,-0.020112955,0.02216514,0.364502951,0.681197918,global,global grey matter,0.574591786,No,No,DNAm,Model 1 (n=709)
IGFBP4,global.total.gm,-0.092358181,0.021867854,2.73E-05,0.688817898,global,global grey matter,0.000742944,Yes,Yes,DNAm,Model 1 (n=709)
CLEC11A,global.total.gm,-0.010953907,0.023103232,0.635557234,0.680923028,global,global grey matter,0.744900415,No,No,DNAm,Model 1 (n=709)
VCAM1,global.total.gm,0.040953119,0.026000928,0.115697447,0.681956577,global,global grey matter,0.287567254,No,No,DNAm,Model 1 (n=709)
LGALS4,global.total.gm,-0.042731852,0.02259112,0.058969338,0.682456759,global,global grey matter,0.178546052,No,No,DNAm,Model 1 (n=709)
CD209,global.total.gm,0.015582594,0.023724156,0.511511866,0.681017966,global,global grey matter,0.664863916,No,No,DNAm,Model 1 (n=709)
IL19,global.total.gm,0.02235817,0.022091294,0.311852241,0.681290073,global,global grey matter,0.531123348,No,No,DNAm,Model 1 (n=709)
CXCL11,global.total.gm,-0.010994654,0.022081406,0.618701983,0.680933655,global,global grey matter,0.736908752,No,No,DNAm,Model 1 (n=709)
MRC2,global.total.gm,0.05300377,0.021721792,0.014931609,0.683534792,global,global grey matter,0.065101816,Yes,No,DNAm,Model 1 (n=709)
CCL18,global.total.gm,-0.067204204,0.02855957,0.018894545,0.683346148,global,global grey matter,0.079211747,Yes,No,DNAm,Model 1 (n=709)
RETN,global.total.gm,-0.012653308,0.021890082,0.563425707,0.68097327,global,global grey matter,0.694318561,No,No,DNAm,Model 1 (n=709)
C9,global.total.gm,-0.01736039,0.021975739,0.429809395,0.681106434,global,global grey matter,0.633097622,No,No,DNAm,Model 1 (n=709)
RARRES2,global.total.gm,-0.077767624,0.023188142,0.000840519,0.685910171,global,global grey matter,0.007150753,Yes,Yes,DNAm,Model 1 (n=709)
TNFRSF1B,global.total.gm,0.020691932,0.025820361,0.423185737,0.681114763,global,global grey matter,0.631880073,No,No,DNAm,Model 1 (n=709)
IDUA,global.total.gm,-0.018189309,0.021468193,0.397137961,0.681149488,global,global grey matter,0.601222747,No,No,DNAm,Model 1 (n=709)
ADAMTS13,global.total.gm,0.03870171,0.022390909,0.084351202,0.682187806,global,global grey matter,0.248494081,No,No,DNAm,Model 1 (n=709)
F7,global.total.gm,0.008178325,0.021864484,0.708484276,0.680884008,global,global grey matter,0.796131815,No,No,DNAm,Model 1 (n=709)
GNLY,global.total.gm,0.048783637,0.023245063,0.036207104,0.682832545,global,global grey matter,0.127308851,Yes,No,DNAm,Model 1 (n=709)
PIGR,global.total.gm,-0.092977275,0.02132227,1.49E-05,0.689331534,global,global grey matter,0.000542794,Yes,Yes,DNAm,Model 1 (n=709)
WFIKKN2,global.total.gm,0.035778569,0.023940359,0.13550275,0.681843594,global,global grey matter,0.307704162,No,No,DNAm,Model 1 (n=709)
FCER2,global.total.gm,0.023312722,0.021540994,0.279517741,0.681357447,global,global grey matter,0.504932256,No,No,DNAm,Model 1 (n=709)
CD48,global.total.gm,-0.009351706,0.022088375,0.672151523,0.680902091,global,global grey matter,0.76557268,No,No,DNAm,Model 1 (n=709)
CD5L,global.total.gm,-0.014960885,0.022510901,0.506523157,0.681022689,global,global grey matter,0.664863916,No,No,DNAm,Model 1 (n=709)
CNTN4,global.total.gm,0.0792827,0.022219562,0.000384256,0.686569668,global,global grey matter,0.005221799,Yes,Yes,DNAm,Model 1 (n=709)
FCGR3B,global.total.gm,0.014935095,0.022400882,0.505173169,0.681023982,global,global grey matter,0.664863916,No,No,DNAm,Model 1 (n=709)
SERPIND1,global.total.gm,-0.076947316,0.022668265,0.000726668,0.686032528,global,global grey matter,0.007150753,Yes,Yes,DNAm,Model 1 (n=709)
LY9,global.total.gm,0.03889838,0.02407376,0.106592053,0.682015922,global,global grey matter,0.283378872,No,No,DNAm,Model 1 (n=709)
THBS2,global.total.gm,-0.080478549,0.022742611,0.000428963,0.686476723,global,global grey matter,0.005221799,Yes,Yes,DNAm,Model 1 (n=709)
ACY1,global.total.gm,-0.017247361,0.027131205,0.525180235,0.681005425,global,global grey matter,0.672065343,No,No,DNAm,Model 1 (n=709)
BMP1,global.total.gm,0.031112595,0.027884994,0.26491668,0.681391192,global,global grey matter,0.489422342,No,No,DNAm,Model 1 (n=709)
TPSB2,global.total.gm,-0.010607213,0.021503879,0.62197803,0.680931539,global,global grey matter,0.736908752,No,No,DNAm,Model 1 (n=709)
GZMA,global.total.gm,0.014984072,0.021922611,0.494520031,0.681034388,global,global grey matter,0.664863916,No,No,DNAm,Model 1 (n=709)
INSR,global.total.gm,0.000207281,0.022045466,0.992500755,0.680819715,global,global grey matter,0.992500755,No,No,DNAm,Model 1 (n=709)
SELE,global.total.gm,-0.044722626,0.027322937,0.102122229,0.682047122,global,global grey matter,0.283033044,No,No,DNAm,Model 1 (n=709)
MPL,global.total.gm,0.02796506,0.022166226,0.207514193,0.681550022,global,global grey matter,0.411255401,No,No,DNAm,Model 1 (n=709)
B2M,global.total.gm,0.017252735,0.027718751,0.533869458,0.680997749,global,global grey matter,0.672065343,No,No,DNAm,Model 1 (n=709)
LTA.LTB,global.total.gm,0.02862832,0.031145618,0.358322629,0.681207776,global,global grey matter,0.574370096,No,No,DNAm,Model 1 (n=709)
CCL22,global.total.gm,-0.009106677,0.021657872,0.674265846,0.680900967,global,global grey matter,0.76557268,No,No,DNAm,Model 1 (n=709)
CCL17,global.total.gm,-0.055724135,0.02141246,0.009454515,0.683904371,global,global grey matter,0.046842824,Yes,Yes,DNAm,Model 1 (n=709)
ADIPOQ,global.total.gm,0.04022968,0.044753054,0.369003899,0.681190884,global,global grey matter,0.574591786,No,No,DNAm,Model 1 (n=709)
CHIT1,global.total.gm,0.000612107,0.032122428,0.984802349,0.680819841,global,global grey matter,0.992500755,No,No,DNAm,Model 1 (n=709)
HGFAC,global.total.gm,-0.024449676,0.021668601,0.259563788,0.681404148,global,global grey matter,0.487800911,No,No,DNAm,Model 1 (n=709)
ESM1,global.total.gm,0.015138808,0.021796409,0.487566569,0.681041386,global,global grey matter,0.664863916,No,No,DNAm,Model 1 (n=709)
CXCL10,global.total.gm,-0.039587753,0.023462719,0.092002356,0.682123633,global,global grey matter,0.263901495,No,No,DNAm,Model 1 (n=709)
