DNAm,metric,estimate,std.error,p.value,r2,modality,brain_metric,pFDR,significance,FDR_significance,omic_type,model
CCL11,global.cerebral.wm,-0.013174145,0.029689271,0.657389081,0.534400373,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
CD6,global.cerebral.wm,0.027337426,0.027714929,0.324330675,0.534980375,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
CXCL10_olink,global.cerebral.wm,-0.014585847,0.029058374,0.615880413,0.534441567,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
CXCL11_olink,global.cerebral.wm,-0.022017414,0.028108455,0.433747831,0.534711959,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
CXCL9,global.cerebral.wm,-0.017572489,0.028928096,0.543771328,0.534529123,global,global white matter,0.955985076,No,No,DNAm,Model 3 Lifestyle (n=709)
EN.RAGE,global.cerebral.wm,0.011394089,0.028588343,0.690356304,0.534371896,global,global white matter,0.971397936,No,No,DNAm,Model 3 Lifestyle (n=709)
FGF.21,global.cerebral.wm,-0.035074871,0.028935112,0.225899668,0.535350666,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
HGF,global.cerebral.wm,0.004189907,0.030952461,0.89236639,0.534266704,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
MMP.1_olink,global.cerebral.wm,0.024195918,0.028672931,0.399072479,0.534785585,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
OSM,global.cerebral.wm,0.015807338,0.028713884,0.582165891,0.534479803,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
TGF.alpha,global.cerebral.wm,0.025224205,0.030167011,0.403390518,0.534775912,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
VEGFA,global.cerebral.wm,-0.028694227,0.030059278,0.340156904,0.534934311,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
CCL21,global.cerebral.wm,-0.025861738,0.032779898,0.430441164,0.534718597,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
MMP9,global.cerebral.wm,-0.032093877,0.030806454,0.297913485,0.53506425,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
MPO,global.cerebral.wm,-0.003809583,0.02729481,0.889043584,0.534267569,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
NTRK3,global.cerebral.wm,0.02456332,0.030613622,0.422647896,0.534734548,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
TNFRSF17,global.cerebral.wm,0.044626593,0.028570984,0.118807195,0.53607267,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
MIA,global.cerebral.wm,-0.007603282,0.027521219,0.782432624,0.534310128,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
CCL25,global.cerebral.wm,-0.003517947,0.0283702,0.901354164,0.534264497,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
IGFBP1,global.cerebral.wm,-0.015777699,0.037566491,0.674634914,0.534385028,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
LTF,global.cerebral.wm,-0.003121737,0.028267818,0.91210057,0.534262115,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
BCAM,global.cerebral.wm,0.037684661,0.027730685,0.17465445,0.535631716,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
EDA,global.cerebral.wm,0.002132159,0.028183695,0.93972011,0.534257269,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
C5,global.cerebral.wm,-0.024517662,0.02929377,0.402937485,0.534776919,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
GHR,global.cerebral.wm,0.010100086,0.02852553,0.723405075,0.534346838,global,global white matter,0.973471027,No,No,DNAm,Model 3 Lifestyle (n=709)
IGFBP4,global.cerebral.wm,-0.072355584,0.029017429,0.012907006,0.538862615,global,global white matter,0.703431835,Yes,No,DNAm,Model 3 Lifestyle (n=709)
CLEC11A,global.cerebral.wm,0.033374001,0.029509211,0.258504041,0.535208787,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
VCAM1,global.cerebral.wm,0.047430539,0.033313154,0.155012153,0.535765956,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
LGALS4,global.cerebral.wm,-0.00111023,0.028913805,0.969382746,0.534254087,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
CD209,global.cerebral.wm,-0.020966063,0.030555727,0.492869041,0.534605256,global,global white matter,0.926253887,No,No,DNAm,Model 3 Lifestyle (n=709)
IL19,global.cerebral.wm,-0.007642968,0.027761876,0.783173766,0.534309729,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
CXCL11,global.cerebral.wm,0.012424018,0.028731752,0.665590251,0.534392951,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
MRC2,global.cerebral.wm,0.031545465,0.027786539,0.256695838,0.535216071,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
CCL18,global.cerebral.wm,-0.033989756,0.037733358,0.368049681,0.534859774,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
RETN,global.cerebral.wm,0.000863852,0.028120858,0.97550328,0.53425369,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
C9,global.cerebral.wm,0.003875998,0.027882298,0.889484976,0.534267453,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
RARRES2,global.cerebral.wm,-0.03121424,0.030774457,0.310838523,0.535022055,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
TNFRSF1B,global.cerebral.wm,0.03474176,0.032926127,0.291769775,0.53508514,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
IDUA,global.cerebral.wm,0.010109176,0.027465999,0.712952614,0.534354399,global,global white matter,0.971397936,No,No,DNAm,Model 3 Lifestyle (n=709)
ADAMTS13,global.cerebral.wm,0.015258056,0.02896209,0.598500476,0.534460716,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
F7,global.cerebral.wm,0.038444344,0.027984484,0.170006887,0.535661864,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
GNLY,global.cerebral.wm,0.043307759,0.030318318,0.153668513,0.535775838,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
PIGR,global.cerebral.wm,-0.077637001,0.037786671,0.040333578,0.537392641,global,global white matter,0.900984241,Yes,No,DNAm,Model 3 Lifestyle (n=709)
WFIKKN2,global.cerebral.wm,0.004824002,0.032772513,0.883024562,0.534269206,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
FCER2,global.cerebral.wm,-0.001824444,0.027915462,0.947911515,0.534256182,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
CD48,global.cerebral.wm,0.029560316,0.028248066,0.295757725,0.535071517,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
CD5L,global.cerebral.wm,0.008113064,0.02891709,0.779138916,0.534311917,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
CNTN4,global.cerebral.wm,0.038230323,0.029268368,0.1919676,0.53552704,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
FCGR3B,global.cerebral.wm,0.034171735,0.028833997,0.236422754,0.535302295,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
SERPIND1,global.cerebral.wm,-0.066089406,0.033274216,0.047449065,0.537188347,global,global white matter,0.900984241,Yes,No,DNAm,Model 3 Lifestyle (n=709)
LY9,global.cerebral.wm,0.04346482,0.03175314,0.171544887,0.535651784,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
THBS2,global.cerebral.wm,-0.006473206,0.029860801,0.828451369,0.534288169,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
ACY1,global.cerebral.wm,-0.000907913,0.035435342,0.979567321,0.534253475,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
BMP1,global.cerebral.wm,0.022661552,0.035944897,0.528630085,0.534550415,global,global white matter,0.955985076,No,No,DNAm,Model 3 Lifestyle (n=709)
TPSB2,global.cerebral.wm,0.005577484,0.027601627,0.839927405,0.534283556,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
GZMA,global.cerebral.wm,0.023679097,0.028093818,0.399631894,0.534784323,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
INSR,global.cerebral.wm,-0.011008725,0.028750148,0.70191716,0.534362745,global,global white matter,0.971397936,No,No,DNAm,Model 3 Lifestyle (n=709)
SELE,global.cerebral.wm,-0.027674059,0.036424072,0.447677624,0.534684826,global,global white matter,0.903645575,No,No,DNAm,Model 3 Lifestyle (n=709)
MPL,global.cerebral.wm,-0.003513694,0.028176731,0.900799782,0.534264627,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
B2M,global.cerebral.wm,0.050348784,0.035420981,0.155690185,0.535761006,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
LTA.LTB,global.cerebral.wm,-0.074281243,0.040075871,0.06428183,0.536811333,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
CCL22,global.cerebral.wm,-0.018750728,0.029298615,0.522416809,0.534559473,global,global white matter,0.955985076,No,No,DNAm,Model 3 Lifestyle (n=709)
CCL17,global.cerebral.wm,-0.01236327,0.029133592,0.671446544,0.53438779,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
ADIPOQ,global.cerebral.wm,0.002919817,0.058461179,0.96018261,0.534254851,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
CHIT1,global.cerebral.wm,0.039667437,0.041033237,0.33406236,0.534951705,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
HGFAC,global.cerebral.wm,-0.037870213,0.027683921,0.171821793,0.53564998,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
ESM1,global.cerebral.wm,0.071979258,0.027898157,0.010106161,0.539184723,global,global white matter,0.703431835,Yes,No,DNAm,Model 3 Lifestyle (n=709)
CXCL10,global.cerebral.wm,0.015582974,0.030024691,0.603941649,0.534454595,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
PAPPA,global.cerebral.wm,-0.018826591,0.027356634,0.491589039,0.534607345,global,global white matter,0.926253887,No,No,DNAm,Model 3 Lifestyle (n=709)
SERPINA3,global.cerebral.wm,0.051531093,0.028431252,0.07039397,0.536699897,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
MMP2,global.cerebral.wm,-0.019299659,0.031698646,0.542847448,0.534530391,global,global white matter,0.955985076,No,No,DNAm,Model 3 Lifestyle (n=709)
CRP,global.cerebral.wm,-0.013699323,0.030778835,0.65641023,0.534401274,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
MST1,global.cerebral.wm,-0.030077376,0.027438485,0.273426508,0.535150993,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
ENPP7,global.cerebral.wm,-0.036226537,0.027329037,0.185468983,0.535565,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
C4A.C4B,global.cerebral.wm,-0.00716598,0.02691757,0.790158455,0.534306046,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
MMP12,global.cerebral.wm,-0.032460649,0.045511727,0.475966608,0.534633586,global,global white matter,0.926253887,No,No,DNAm,Model 3 Lifestyle (n=709)
NCAM1,global.cerebral.wm,0.032009353,0.03013907,0.288622862,0.53509606,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
CLEC11A.1,global.cerebral.wm,0.022930134,0.029552324,0.438093255,0.534703353,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
SLITRK5,global.cerebral.wm,-0.020167927,0.036282562,0.578508297,0.534484227,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
AFM,global.cerebral.wm,-0.005494424,0.027722996,0.842961076,0.534282393,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
SELL,global.cerebral.wm,0.012475748,0.032997525,0.705499179,0.534359995,global,global white matter,0.971397936,No,No,DNAm,Model 3 Lifestyle (n=709)
LYZ,global.cerebral.wm,-0.012426972,0.029026447,0.668707708,0.53439019,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
MMP1,global.cerebral.wm,-0.009894657,0.029502197,0.737446161,0.534337195,global,global white matter,0.980263799,No,No,DNAm,Model 3 Lifestyle (n=709)
SHBG,global.cerebral.wm,0.001973055,0.044100215,0.964328709,0.534254482,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
STC1,global.cerebral.wm,0.031360521,0.058466405,0.591884057,0.534468317,global,global white matter,0.969445008,No,No,DNAm,Model 3 Lifestyle (n=709)
GP1BA,global.cerebral.wm,0.020626093,0.027969916,0.461133824,0.534659831,global,global white matter,0.913883398,No,No,DNAm,Model 3 Lifestyle (n=709)
LGALS3BP,global.cerebral.wm,-0.00398482,0.028818141,0.890068061,0.534267299,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
CD163,global.cerebral.wm,-0.006808875,0.028337565,0.810194433,0.534296209,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
FAP,global.cerebral.wm,-0.023578809,0.028439827,0.407378828,0.53476711,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
PRSS2,global.cerebral.wm,-0.031785206,0.028555974,0.266102208,0.535178857,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
NOTCH1,global.cerebral.wm,0.029746112,0.030768607,0.334035638,0.534951782,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
ICAM5,global.cerebral.wm,-0.064603374,0.029663208,0.029788767,0.537777784,global,global white matter,0.900984241,Yes,No,DNAm,Model 3 Lifestyle (n=709)
S100A9,global.cerebral.wm,-0.003270482,0.028761206,0.909503144,0.534262665,global,global white matter,0.981505954,No,No,DNAm,Model 3 Lifestyle (n=709)
OMD,global.cerebral.wm,0.031106884,0.03188998,0.329719354,0.534964361,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
SEMA3E,global.cerebral.wm,0.055102457,0.032953724,0.095004319,0.536337209,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
SPOCK2,global.cerebral.wm,0.033671895,0.027770719,0.225782767,0.535351218,global,global white matter,0.900984241,No,No,DNAm,Model 3 Lifestyle (n=709)
CRTAM,global.total.gm,0.02972467,0.023366396,0.203808758,0.681624637,global,global grey matter,0.444303093,No,No,DNAm,Model 3 Lifestyle (n=709)
EZR,global.total.gm,0.033630392,0.023077928,0.145551058,0.681882408,global,global grey matter,0.421206754,No,No,DNAm,Model 3 Lifestyle (n=709)
FcRL2,global.total.gm,0.004229312,0.022498823,0.850954216,0.680814447,global,global grey matter,0.923512874,No,No,DNAm,Model 3 Lifestyle (n=709)
G.CSF,global.total.gm,-0.035879882,0.023559909,0.128286673,0.681982126,global,global grey matter,0.399521353,No,No,DNAm,Model 3 Lifestyle (n=709)
GDF.8,global.total.gm,0.057065554,0.024035468,0.017888473,0.683663146,global,global grey matter,0.121865223,Yes,No,DNAm,Model 3 Lifestyle (n=709)
GZMA_olink,global.total.gm,0.041199699,0.023299534,0.077507107,0.682392904,global,global grey matter,0.301724093,No,No,DNAm,Model 3 Lifestyle (n=709)
N.CDase,global.total.gm,0.012911676,0.022924722,0.573487641,0.680959024,global,global grey matter,0.744168487,No,No,DNAm,Model 3 Lifestyle (n=709)
NEP,global.total.gm,-0.045199044,0.022983008,0.049670212,0.682768874,global,global grey matter,0.216562122,Yes,No,DNAm,Model 3 Lifestyle (n=709)
NMNAT1,global.total.gm,0.03566346,0.022880889,0.119586188,0.682038211,global,global grey matter,0.383379249,No,No,DNAm,Model 3 Lifestyle (n=709)
NTRK3_olink,global.total.gm,0.053453956,0.02417762,0.027406803,0.683285232,global,global grey matter,0.14639602,Yes,No,DNAm,Model 3 Lifestyle (n=709)
SIGLEC1,global.total.gm,-0.016219378,0.022952236,0.480043766,0.681052377,global,global grey matter,0.679542474,No,No,DNAm,Model 3 Lifestyle (n=709)
SKR3,global.total.gm,-0.07186204,0.026157008,0.006182267,0.684623346,global,global grey matter,0.061260642,Yes,No,DNAm,Model 3 Lifestyle (n=709)
SMPD1,global.total.gm,-0.019758521,0.023078283,0.392243343,0.681172037,global,global grey matter,0.61077892,No,No,DNAm,Model 3 Lifestyle (n=709)
CCL11,global.total.gm,-0.020366979,0.02451164,0.40634302,0.681150233,global,global grey matter,0.615158184,No,No,DNAm,Model 3 Lifestyle (n=709)
CD6,global.total.gm,0.030998601,0.022874838,0.175864963,0.681735962,global,global grey matter,0.429677102,No,No,DNAm,Model 3 Lifestyle (n=709)
CXCL10_olink,global.total.gm,0.015829611,0.023996749,0.509718461,0.68101947,global,global grey matter,0.703282433,No,No,DNAm,Model 3 Lifestyle (n=709)
CXCL11_olink,global.total.gm,0.013338474,0.023221,0.565895157,0.680965552,global,global grey matter,0.744168487,No,No,DNAm,Model 3 Lifestyle (n=709)
CXCL9,global.total.gm,-0.016344815,0.023890778,0.494136881,0.681036336,global,global grey matter,0.690524615,No,No,DNAm,Model 3 Lifestyle (n=709)
EN.RAGE,global.total.gm,0.008677116,0.023612518,0.713386392,0.680865601,global,global grey matter,0.854495788,No,No,DNAm,Model 3 Lifestyle (n=709)
FGF.21,global.total.gm,-0.054318221,0.023827354,0.022965726,0.683441179,global,global grey matter,0.131750743,Yes,No,DNAm,Model 3 Lifestyle (n=709)
HGF,global.total.gm,-0.033171109,0.025530425,0.194330073,0.681660295,global,global grey matter,0.432285265,No,No,DNAm,Model 3 Lifestyle (n=709)
MMP.1_olink,global.total.gm,-0.038431289,0.023645324,0.104600307,0.68214626,global,global grey matter,0.37176204,No,No,DNAm,Model 3 Lifestyle (n=709)
OSM,global.total.gm,0.002287442,0.023721355,0.923210416,0.680801086,global,global grey matter,0.940900899,No,No,DNAm,Model 3 Lifestyle (n=709)
TGF.alpha,global.total.gm,-0.030809566,0.024899314,0.216418133,0.681580116,global,global grey matter,0.453645701,No,No,DNAm,Model 3 Lifestyle (n=709)
VEGFA,global.total.gm,-0.062377798,0.024718927,0.011867854,0.684031168,global,global grey matter,0.092399722,Yes,No,DNAm,Model 3 Lifestyle (n=709)
CCL21,global.total.gm,0.008545466,0.027085387,0.752487147,0.680847389,global,global grey matter,0.876953241,No,No,DNAm,Model 3 Lifestyle (n=709)
MMP9,global.total.gm,-0.040772919,0.025413737,0.109141149,0.682111813,global,global grey matter,0.37176204,No,No,DNAm,Model 3 Lifestyle (n=709)
MPO,global.total.gm,-0.019625476,0.022530309,0.384052007,0.681185229,global,global grey matter,0.61077892,No,No,DNAm,Model 3 Lifestyle (n=709)
NTRK3,global.total.gm,0.087103153,0.025055653,0.000543619,0.686880137,global,global grey matter,0.011850895,Yes,Yes,DNAm,Model 3 Lifestyle (n=709)
TNFRSF17,global.total.gm,-0.013459993,0.023637803,0.569272275,0.680962627,global,global grey matter,0.744168487,No,No,DNAm,Model 3 Lifestyle (n=709)
MIA,global.total.gm,0.000746999,0.022732068,0.973795962,0.680796868,global,global grey matter,0.982812591,No,No,DNAm,Model 3 Lifestyle (n=709)
CCL25,global.total.gm,-0.018144803,0.023420887,0.438795145,0.681104035,global,global grey matter,0.646333389,No,No,DNAm,Model 3 Lifestyle (n=709)
IGFBP1,global.total.gm,0.007958373,0.031030177,0.797671172,0.680830067,global,global grey matter,0.896352142,No,No,DNAm,Model 3 Lifestyle (n=709)
LTF,global.total.gm,0.003665212,0.0233471,0.875305323,0.680808961,global,global grey matter,0.935375296,No,No,DNAm,Model 3 Lifestyle (n=709)
BCAM,global.total.gm,-0.031072046,0.022903814,0.175390346,0.681738027,global,global grey matter,0.429677102,No,No,DNAm,Model 3 Lifestyle (n=709)
EDA,global.total.gm,0.003162781,0.023277616,0.891966269,0.680805788,global,global grey matter,0.940900899,No,No,DNAm,Model 3 Lifestyle (n=709)
C5,global.total.gm,-0.004403017,0.024207678,0.855732112,0.680813291,global,global grey matter,0.923512874,No,No,DNAm,Model 3 Lifestyle (n=709)
GHR,global.total.gm,-0.019595472,0.023549458,0.405672621,0.681151245,global,global grey matter,0.615158184,No,No,DNAm,Model 3 Lifestyle (n=709)
IGFBP4,global.total.gm,-0.09248257,0.023798786,0.000112836,0.688362372,global,global grey matter,0.005461555,Yes,Yes,DNAm,Model 3 Lifestyle (n=709)
CLEC11A,global.total.gm,-0.005969778,0.024396515,0.806770994,0.680827039,global,global grey matter,0.897326922,No,No,DNAm,Model 3 Lifestyle (n=709)
VCAM1,global.total.gm,0.043577509,0.027503798,0.113606925,0.682079435,global,global grey matter,0.375247116,No,No,DNAm,Model 3 Lifestyle (n=709)
LGALS4,global.total.gm,-0.033855512,0.023842291,0.156115306,0.681827732,global,global grey matter,0.42873465,No,No,DNAm,Model 3 Lifestyle (n=709)
CD209,global.total.gm,0.013654218,0.025240607,0.588727207,0.680946423,global,global grey matter,0.747098406,No,No,DNAm,Model 3 Lifestyle (n=709)
IL19,global.total.gm,0.021871109,0.022914081,0.340209831,0.681263165,global,global grey matter,0.607915927,No,No,DNAm,Model 3 Lifestyle (n=709)
CXCL11,global.total.gm,0.002694298,0.023733833,0.909653819,0.680802927,global,global grey matter,0.940900899,No,No,DNAm,Model 3 Lifestyle (n=709)
MRC2,global.total.gm,0.05033659,0.022884765,0.028204738,0.68326001,global,global grey matter,0.14639602,Yes,No,DNAm,Model 3 Lifestyle (n=709)
CCL18,global.total.gm,-0.071985737,0.0310517,0.020758898,0.683530722,global,global grey matter,0.131750743,Yes,No,DNAm,Model 3 Lifestyle (n=709)
RETN,global.total.gm,-0.013258536,0.023219887,0.568206457,0.680963547,global,global grey matter,0.744168487,No,No,DNAm,Model 3 Lifestyle (n=709)
C9,global.total.gm,-0.011953186,0.02302429,0.603836994,0.68093457,global,global grey matter,0.756531406,No,No,DNAm,Model 3 Lifestyle (n=709)
RARRES2,global.total.gm,-0.077115061,0.025250047,0.0023542,0.685512244,global,global grey matter,0.036658264,Yes,Yes,DNAm,Model 3 Lifestyle (n=709)
TNFRSF1B,global.total.gm,0.025176889,0.027200388,0.355008849,0.681235384,global,global grey matter,0.609648206,No,No,DNAm,Model 3 Lifestyle (n=709)
IDUA,global.total.gm,-0.012246321,0.02268224,0.589453788,0.680945839,global,global grey matter,0.747098406,No,No,DNAm,Model 3 Lifestyle (n=709)
ADAMTS13,global.total.gm,0.025737707,0.023903827,0.28202321,0.68139016,global,global grey matter,0.558918726,No,No,DNAm,Model 3 Lifestyle (n=709)
F7,global.total.gm,0.006942801,0.023146684,0.764317045,0.680842478,global,global grey matter,0.876953241,No,No,DNAm,Model 3 Lifestyle (n=709)
GNLY,global.total.gm,0.040407995,0.025029564,0.106945527,0.682128269,global,global grey matter,0.37176204,No,No,DNAm,Model 3 Lifestyle (n=709)
PIGR,global.total.gm,-0.118065466,0.030955105,0.000150318,0.688091199,global,global grey matter,0.005461555,Yes,Yes,DNAm,Model 3 Lifestyle (n=709)
WFIKKN2,global.total.gm,0.029207083,0.027043038,0.280550861,0.681393802,global,global grey matter,0.558918726,No,No,DNAm,Model 3 Lifestyle (n=709)
FCER2,global.total.gm,0.009544033,0.023053215,0.679016772,0.680884248,global,global grey matter,0.831604811,No,No,DNAm,Model 3 Lifestyle (n=709)
CD48,global.total.gm,0.007119399,0.023349804,0.760542887,0.680844016,global,global grey matter,0.876953241,No,No,DNAm,Model 3 Lifestyle (n=709)
CD5L,global.total.gm,-0.002485894,0.023884892,0.917140933,0.680801873,global,global grey matter,0.940900899,No,No,DNAm,Model 3 Lifestyle (n=709)
CNTN4,global.total.gm,0.070363247,0.02404188,0.003550932,0.685132347,global,global grey matter,0.046813599,Yes,Yes,DNAm,Model 3 Lifestyle (n=709)
FCGR3B,global.total.gm,0.031569686,0.023808206,0.185326344,0.681696099,global,global grey matter,0.429799393,No,No,DNAm,Model 3 Lifestyle (n=709)
SERPIND1,global.total.gm,-0.073946714,0.027409399,0.007167992,0.684488332,global,global grey matter,0.065109263,Yes,No,DNAm,Model 3 Lifestyle (n=709)
LY9,global.total.gm,0.035703067,0.026226408,0.173899096,0.681744555,global,global grey matter,0.429677102,No,No,DNAm,Model 3 Lifestyle (n=709)
THBS2,global.total.gm,-0.085541543,0.024424309,0.000494296,0.686969451,global,global grey matter,0.011850895,Yes,Yes,DNAm,Model 3 Lifestyle (n=709)
ACY1,global.total.gm,-0.026908668,0.029247353,0.357909713,0.681230123,global,global grey matter,0.609648206,No,No,DNAm,Model 3 Lifestyle (n=709)
BMP1,global.total.gm,0.026694244,0.029678279,0.368759016,0.681210954,global,global grey matter,0.61077892,No,No,DNAm,Model 3 Lifestyle (n=709)
