"","DNAm","metric","estimate","std.error","p.value","r2","modality","brain_metric","pFDR","significance","FDR_significance","omic_type","model"
"53","RETN","global_cortical_thickness",-0.0740241810241482,0.0316389469615824,0.0195842390512938,0.312065088274952,"cortical","global cortical thickness",0.285852118253446,"Yes","No","protein","Model 1 (n=709)"
"54","STC1","global_cortical_thickness",-0.112709685233465,0.03236949609497,0.000528931470066871,0.318543936120344,"cortical","global cortical thickness",0.016396875572073,"Yes","Yes","protein","Model 1 (n=709)"
"55","SMPD1","global_cortical_thickness",-0.0657907961496503,0.0325711491168022,0.0437764785585255,0.31069140380456,"cortical","global cortical thickness",0.350322983074073,"Yes","No","protein","Model 1 (n=709)"
"56","ADAMTS13","global_cortical_volume",0.0484993713771656,0.0231590942141785,0.0366058784754921,0.633340418777197,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"57","C4A.C4B","global_cortical_volume",-0.0682723750990801,0.0234147987895247,0.0036624309378095,0.635488785737727,"cortical","global cortical volume",0.0772400310568465,"Yes","No","protein","Model 1 (n=709)"
"58","C9","global_cortical_volume",-0.0482876357461555,0.0237711299589401,0.0425994212267584,0.63320428979929,"cortical","global cortical volume",0.208512956530975,"Yes","No","protein","Model 1 (n=709)"
"59","CCL21","global_cortical_volume",-0.0649465598717181,0.0230541491567406,0.00498322781011913,0.635195104856313,"cortical","global cortical volume",0.0772400310568465,"Yes","No","protein","Model 1 (n=709)"
"60","CRP","global_cortical_volume",-0.0504418860936536,0.0231588059572234,0.029735532340671,0.633528517833167,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"61","EDA","global_cortical_volume",-0.0509142187354917,0.0234139129910954,0.0300025623969215,0.633520394794138,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"62","IGFBP4","global_cortical_volume",-0.0693374394656532,0.0238681832747004,0.00378917417549644,0.635456274249765,"cortical","global cortical volume",0.0772400310568465,"Yes","No","protein","Model 1 (n=709)"
"63","LGALS4","global_cortical_volume",-0.0552367028025751,0.0230671800256978,0.0169027156406969,0.63404703878401,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"64","LYZ","global_cortical_volume",-0.0490068653476488,0.0233792088684538,0.0364284071941409,0.633344797537872,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"65","MMP12","global_cortical_volume",-0.0514761237706179,0.0244999607003506,0.0359949226800082,0.633355587288372,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"66","MMP9","global_cortical_volume",-0.0505335304198175,0.0237324387086746,0.0335806585489812,0.63341827522313,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"67","PIGR","global_cortical_volume",-0.0967069698765259,0.0229264471730813,2.78995210950191e-05,0.640246704914191,"cortical","global cortical volume",0.00129732773091839,"Yes","Yes","protein","Model 1 (n=709)"
"68","RARRES2","global_cortical_volume",-0.0678540850572408,0.0237820345707679,0.00445751074607846,0.63530126520359,"cortical","global cortical volume",0.0772400310568465,"Yes","No","protein","Model 1 (n=709)"
"69","RETN","global_cortical_volume",-0.0478514194660084,0.0230782115986643,0.0384991833052672,0.633295039993476,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"70","SELE","global_cortical_volume",-0.0529781285811349,0.02304140181904,0.0217864025011236,0.633812836671522,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"71","SEMA3E","global_cortical_volume",0.0554405978977454,0.0236621212914543,0.0194103382440554,0.633919166259762,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"72","SERPIND1","global_cortical_volume",-0.0489959276791505,0.0236555055190284,0.0387065880305458,0.633290211319155,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"73","STC1","global_cortical_volume",-0.103451401286096,0.0234701757060451,1.20977638439707e-05,0.64107158743987,"cortical","global cortical volume",0.00112509203748927,"Yes","Yes","protein","Model 1 (n=709)"
"74","TNFRSF1B","global_cortical_volume",-0.0530955988323343,0.0233825688223883,0.0234686832278064,0.633744563137073,"cortical","global cortical volume",0.19998403815782,"Yes","No","protein","Model 1 (n=709)"
"75","CNTN4","global_subcortical_volume",0.0584244438865291,0.027370869331138,0.0331512329372277,0.532101833127696,"subcortical","global subcortical volume",0.440437809023168,"Yes","No","protein","Model 1 (n=709)"
"76","IGFBP4","global_subcortical_volume",-0.0786773204221923,0.0271853113755224,0.00392285774755807,0.534671920121393,"subcortical","global subcortical volume",0.18241288526145,"Yes","No","protein","Model 1 (n=709)"
"77","LYZ","global_subcortical_volume",-0.0582751378123651,0.0265697450039829,0.0286209647873881,0.532273772858385,"subcortical","global subcortical volume",0.440437809023168,"Yes","No","protein","Model 1 (n=709)"
"78","MPO","global_subcortical_volume",-0.0618446509530675,0.0262311474635992,0.0186689530730659,0.532779034340679,"subcortical","global subcortical volume",0.440437809023168,"Yes","No","protein","Model 1 (n=709)"
"79","NCAM1","global_subcortical_volume",0.0831813073469309,0.0268156036986533,0.00200108904690305,0.53550446216742,"subcortical","global subcortical volume",0.18241288526145,"Yes","No","protein","Model 1 (n=709)"
"80","NTRK3","global_subcortical_volume",0.060671426291696,0.0269184547707209,0.024517013230675,0.532455931135534,"subcortical","global subcortical volume",0.440437809023168,"Yes","No","protein","Model 1 (n=709)"
"81","OMD","global_subcortical_volume",0.0558399103115023,0.0269014174442101,0.0382909520968975,0.531934204301853,"subcortical","global subcortical volume",0.445132318126433,"Yes","No","protein","Model 1 (n=709)"
"82","RARRES2","global_subcortical_volume",-0.0541129979307378,0.0272209925590271,0.0472176776486451,0.531692482561588,"subcortical","global subcortical volume",0.487916002369333,"Yes","No","protein","Model 1 (n=709)"
"83","STC1","global_subcortical_volume",-0.0578496371705221,0.0269617356591726,0.03225311952546,0.532133893185961,"subcortical","global subcortical volume",0.440437809023168,"Yes","No","protein","Model 1 (n=709)"
"84","CCL21","gFA",-0.0732421264776137,0.0301681069717159,0.0154550694992709,0.407432790338642,"WM_integrity","gFA",0.282323310939593,"Yes","No","protein","Model 1 (n=709)"
"85","IGFBP4","gFA",-0.0800217598620528,0.0313707594828562,0.0109692614598937,0.407973347239736,"WM_integrity","gFA",0.282323310939593,"Yes","No","protein","Model 1 (n=709)"
"86","MIA","gFA",0.0690464697197376,0.0302811287875875,0.0229126124272644,0.406818308774264,"WM_integrity","gFA",0.282323310939593,"Yes","No","protein","Model 1 (n=709)"
"87","MMP12","gFA",-0.0671263077802253,0.0320284444438058,0.0364743527667665,0.40610344606547,"WM_integrity","gFA",0.315116455422309,"Yes","No","protein","Model 1 (n=709)"
"88","NCAM1","gFA",0.0697475717952455,0.0308927680840035,0.0242858762098574,0.40672812575478,"WM_integrity","gFA",0.282323310939593,"Yes","No","protein","Model 1 (n=709)"
"89","OMD","gFA",0.0683777887388543,0.0309941031979693,0.0277143125237941,0.406524219318456,"WM_integrity","gFA",0.286381229412539,"Yes","No","protein","Model 1 (n=709)"
"90","PIGR","gFA",-0.0716449702087129,0.0302838391696585,0.0182778787886896,0.407170095731823,"WM_integrity","gFA",0.282323310939593,"Yes","No","protein","Model 1 (n=709)"
"91","SERPIND1","gFA",-0.0698983288183428,0.0308035969436174,0.0235780302572935,0.406773931958425,"WM_integrity","gFA",0.282323310939593,"Yes","No","protein","Model 1 (n=709)"
"92","THBS2","gFA",-0.0627206431290096,0.030053567382159,0.0372718388133913,0.406070518015337,"WM_integrity","gFA",0.315116455422309,"Yes","No","protein","Model 1 (n=709)"
"93","TNFRSF1B","gFA",-0.0724449355854753,0.0306554079078716,0.0184045247162887,0.407159310403655,"WM_integrity","gFA",0.282323310939593,"Yes","No","protein","Model 1 (n=709)"
"94","SMPD1","gFA",-0.093445073183235,0.0308756163895118,0.00256959295845765,0.410303066655137,"WM_integrity","gFA",0.238972145136561,"Yes","No","protein","Model 1 (n=709)"
"95","CXCL9","gFA",-0.061396839014924,0.0301213113899769,0.0419131574852109,0.405892411466319,"WM_integrity","gFA",0.324826970510384,"Yes","No","protein","Model 1 (n=709)"
"96","ADAMTS13","gMD",-0.0969960317128485,0.0320419709706004,0.00256410826167965,0.336516004703826,"WM_integrity","gMD",0.0628692097622748,"Yes","No","protein","Model 1 (n=709)"
"97","AFM","gMD",0.0681002956095518,0.0324455132733928,0.0362010821146541,0.331799858175109,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"98","CCL21","gMD",0.0694240472861346,0.031964601027084,0.030215584550117,0.332110885392821,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"99","CCL22","gMD",0.0668854502689201,0.0330863906625226,0.0436239829713495,0.33148146911692,"WM_integrity","gMD",0.238648848019735,"Yes","No","protein","Model 1 (n=709)"
"100","CNTN4","gMD",-0.0687303748268209,0.0328335588170105,0.0367009401542149,0.331776356142105,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"101","HGFAC","gMD",0.0977226223694273,0.0324502177057795,0.00269852052651434,0.336422729760483,"WM_integrity","gMD",0.0628692097622748,"Yes","No","protein","Model 1 (n=709)"
"102","ICAM5","gMD",0.0822332995530307,0.0325791072122815,0.0118308012877764,0.333756278776819,"WM_integrity","gMD",0.183377419960534,"Yes","No","protein","Model 1 (n=709)"
"103","IGFBP4","gMD",0.0734520658836071,0.0332499986605494,0.0275088969332646,0.332273289508863,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"104","LGALS3BP","gMD",0.105458208635717,0.0317865779769681,0.000957078907038649,0.338325291819944,"WM_integrity","gMD",0.0628692097622748,"Yes","No","protein","Model 1 (n=709)"
"105","MMP12","gMD",0.0872513895642308,0.0338490525695959,0.0101612973917188,0.334027280373706,"WM_integrity","gMD",0.183377419960534,"Yes","No","protein","Model 1 (n=709)"
"106","MPO","gMD",0.0685110183036739,0.0322616608927315,0.0340717715326421,0.331903917661441,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"107","NCAM1","gMD",-0.0708053968788451,0.0327137660563425,0.0307895048629513,0.33207839593932,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"108","OMD","gMD",-0.0984802143747031,0.0327086336167413,0.00270405203278601,0.336418992671147,"WM_integrity","gMD",0.0628692097622748,"Yes","No","protein","Model 1 (n=709)"
"109","PIGR","gMD",0.0733306014566641,0.0320678599343377,0.0225248814714176,0.332621073804193,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"110","PRSS2","gMD",0.0687774449449638,0.0326396809395882,0.0354764586803918,0.331834536678523,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"111","STC1","gMD",0.0745291863712622,0.0328617292328344,0.0236513854204381,0.332535939469943,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"112","SMPD1","gMD",0.0730158342371594,0.0327878385553685,0.026286808236932,0.332352134991665,"WM_integrity","gMD",0.213324214646374,"Yes","No","protein","Model 1 (n=709)"
"113","ADAMTS13","Fazekas_Score_Total",-0.0968188478736446,0.034940344805073,0.00574134545689093,0.184191630606635,"WM_integrity","WMH",0.266972563745428,"Yes","No","protein","Model 1 (n=709)"
"114","CD5L","Fazekas_Score_Total",-0.0705567818498515,0.03492085290625,0.0437248739536734,0.179909474008143,"WM_integrity","WMH",0.813282655538325,"Yes","No","protein","Model 1 (n=709)"
"115","ICAM5","Fazekas_Score_Total",0.0745314825387876,0.035796665854358,0.0377080510674438,0.180211891630487,"WM_integrity","WMH",0.813282655538325,"Yes","No","protein","Model 1 (n=709)"
"116","MMP12","Fazekas_Score_Total",0.128209486991872,0.0366117950440336,0.000492188022836226,0.189586793458174,"WM_integrity","WMH",0.045773486123769,"Yes","Yes","protein","Model 1 (n=709)"
"117","PIGR","Fazekas_Score_Total",0.0763457813504089,0.0349741229824348,0.0293823412904109,0.180726043466249,"WM_integrity","WMH",0.813282655538325,"Yes","No","protein","Model 1 (n=709)"
"118","AFM","g",-0.0767665740972362,0.0361286113285111,0.0339528986218121,0.102445793160911,"cognitive","g",0.112772127565304,"Yes","No","protein","Model 1 (n=709)"
"119","BMP1","g",0.0939698049029496,0.0363737884170147,0.00998401924441376,0.105196217483885,"cognitive","g",0.0608902633461916,"Yes","No","protein","Model 1 (n=709)"
"120","C5","g",-0.118822254307783,0.036675078269384,0.00125258636793542,0.110023900326954,"cognitive","g",0.0232981064435988,"Yes","Yes","protein","Model 1 (n=709)"
"121","C9","g",-0.118661832855996,0.0365073103783444,0.00120793171748467,0.11010944981437,"cognitive","g",0.0232981064435988,"Yes","Yes","protein","Model 1 (n=709)"
"122","CCL18","g",-0.10441950226969,0.036508097768799,0.0043605836197573,0.107104967026225,"cognitive","g",0.0450593640708254,"Yes","Yes","protein","Model 1 (n=709)"
"123","CCL21","g",-0.12962177257786,0.0360257650232547,0.000343289957462294,0.113089733645716,"cognitive","g",0.0159629830219967,"Yes","Yes","protein","Model 1 (n=709)"
"124","CD163","g",-0.091961605894827,0.0361696064751476,0.0112208248211083,0.104929673543813,"cognitive","g",0.0608902633461916,"Yes","No","protein","Model 1 (n=709)"
"125","CHIT1","g",-0.0910121678999141,0.0374639719050499,0.0153782727068401,0.104214102953756,"cognitive","g",0.0639877345194012,"Yes","No","protein","Model 1 (n=709)"
"126","CRP","g",-0.0985464361677999,0.0361306944990774,0.00654202287670429,0.106166628172022,"cognitive","g",0.0552549019763256,"Yes","No","protein","Model 1 (n=709)"
"127","CXCL11","g",-0.0879999201545471,0.0363810693452301,0.0158249235908196,0.104149396318753,"cognitive","g",0.0639877345194012,"Yes","No","protein","Model 1 (n=709)"
"128","FAP","g",0.0899701250634389,0.0359059941543367,0.0124470138716499,0.104693589166384,"cognitive","g",0.0609248573717599,"Yes","No","protein","Model 1 (n=709)"
"129","FCER2","g",-0.105684893681553,0.0357951822267831,0.00325805217218521,0.107782928469331,"cognitive","g",0.037874856501653,"Yes","Yes","protein","Model 1 (n=709)"
"130","IDUA","g",-0.0777074965260534,0.036032789020786,0.0313794541691871,0.102619506912935,"cognitive","g",0.112024400339117,"Yes","No","protein","Model 1 (n=709)"
"131","LTF","g",-0.109528338583754,0.035868988680803,0.00234736383456619,0.108548690722087,"cognitive","g",0.0336147976744015,"Yes","Yes","protein","Model 1 (n=709)"
"132","MIA","g",0.0886404224224456,0.0360297096465939,0.0141270403693657,0.104406200798261,"cognitive","g",0.0625626073500481,"Yes","No","protein","Model 1 (n=709)"
"133","MMP2","g",0.0760753313657203,0.0367791439150997,0.038966703035236,0.102143655192576,"cognitive","g",0.120796779409232,"Yes","No","protein","Model 1 (n=709)"
"134","MPO","g",-0.129961295760635,0.0359073179139738,0.000316684937961248,0.113281690802423,"cognitive","g",0.0159629830219967,"Yes","Yes","protein","Model 1 (n=709)"
"135","NCAM1","g",0.0784749047627045,0.0366329551777788,0.0325232130016792,0.102540534936188,"cognitive","g",0.112024400339117,"Yes","No","protein","Model 1 (n=709)"
"136","NTRK3","g",0.0938725661122658,0.0366867884787541,0.0107145481786365,0.105034960824215,"cognitive","g",0.0608902633461916,"Yes","No","protein","Model 1 (n=709)"
"137","OMD","g",0.111959739036914,0.0369419582130297,0.00253014606151409,0.108373262102136,"cognitive","g",0.0336147976744015,"Yes","Yes","protein","Model 1 (n=709)"
"138","PIGR","g",-0.0952339744310072,0.0358540089119376,0.00808411649017569,0.105679727703337,"cognitive","g",0.0552549019763256,"Yes","No","protein","Model 1 (n=709)"
"139","RARRES2","g",-0.0976130965454615,0.0368848040233873,0.00831794223299526,0.10561428874312,"cognitive","g",0.0552549019763256,"Yes","No","protein","Model 1 (n=709)"
"140","S100A9","g",-0.0808979176196237,0.0363702413602875,0.0264481292561412,0.102998189523579,"cognitive","g",0.0983870408328453,"Yes","No","protein","Model 1 (n=709)"
"141","SELE","g",-0.0957665949522431,0.0358734712549494,0.00777156180017711,0.105770282010901,"cognitive","g",0.0552549019763256,"Yes","No","protein","Model 1 (n=709)"
"142","SERPIND1","g",-0.0722987250733765,0.0365261542518221,0.0481670089059102,0.101682484091335,"cognitive","g",0.14450102671773,"Yes","No","protein","Model 1 (n=709)"
"143","TNFRSF1B","g",-0.101311769694439,0.0364656295116199,0.0056115766042097,0.106520750860246,"cognitive","g",0.0521876624191502,"Yes","No","protein","Model 1 (n=709)"
"144","WFIKKN2","g",0.077042272520153,0.036693315093803,0.036120112125852,0.102309831821327,"cognitive","g",0.115833463024284,"Yes","No","protein","Model 1 (n=709)"
"145","CRTAM","g",-0.0909998642822079,0.0366717753759905,0.0133185484893305,0.104539855051199,"cognitive","g",0.0619312504753869,"Yes","No","protein","Model 1 (n=709)"
"146","NMNAT1","g",-0.11597665519435,0.0356501892287153,0.0011961582888832,0.110132537384483,"cognitive","g",0.0232981064435988,"Yes","Yes","protein","Model 1 (n=709)"
"147","HGF","g",-0.0919640944003432,0.0364192404322133,0.0117852122605532,0.10481788702719,"cognitive","g",0.0608902633461916,"Yes","No","protein","Model 1 (n=709)"
"148","OSM","g",-0.0807597602405067,0.0358921183350277,0.0247551992727349,0.103145361710869,"cognitive","g",0.0959263971818478,"Yes","No","protein","Model 1 (n=709)"
"149","BMP1","gf",0.0807552290613539,0.0378845446810526,0.0333877339546535,0.0298476558898678,"cognitive","gf",0.110894973492242,"Yes","No","protein","Model 1 (n=709)"
"150","C5","gf",-0.126781122850934,0.0381381632132001,0.000932931111346709,0.0387632624087667,"cognitive","gf",0.0161946594333091,"Yes","Yes","protein","Model 1 (n=709)"
"151","C9","gf",-0.129095371669665,0.0379361691767731,0.000704709129936778,0.0394815097978745,"cognitive","gf",0.0161946594333091,"Yes","Yes","protein","Model 1 (n=709)"
"152","CCL18","gf",-0.106183873612075,0.0379794013162856,0.00531922813639639,0.0343526401455069,"cognitive","gf",0.0380529397449895,"Yes","Yes","protein","Model 1 (n=709)"
